name,experience,views,applications,description
Python Developer,1,393,171,"About us:Our company works with startups - develop, launch and improve them with modern technologies. Our entire friendly team of talented software engineers work remotely, but despite this, have well-established communication and you will always get help from your teammates. We offer comfortable working conditions on a remote basis and the opportunity to grow in our team. If you are interested in our vacancy please start your message with Hello Octy!Required skills: - 1+ years experience of Python Development - OOP, SOLID, Design Patterns, Architectural Patterns- Proficiency in Python, Django/Flask.- Database expertise (SQL/NoSQL).- Problem-solving and teamwork skills.- English B2 or upper.Additional skills:- Cloud platform experience (AWS, Azure, GCP).- DevOps (CI/CD, Docker, Kubernetes).- Web security knowledge.- Agile methodology familiarityResponsibilities:- Develop and maintain Python applications.- Collaborate on software architecture and design.- Conduct code reviews and troubleshoot issues.- Manage databases and create RESTful APIs.Have a look at what we offer:- A wonderful opportunity to grow professionally and acquire friends with common interests- Young and friendly team- Competitive salary- Full time remote work- Flexible schedule, 8-hour workday- 20 working days / 4 calendar weeks of paid vacation- 10+ days of paid sick leave- Corporate-funded training (growing your technical skills, foreign languages)- Paid expos and conferences. (online or offline)Hiring process:- HR interview (about 25 minutes)- Technical interview (up to 1 hour)- Job offerIf we have selected other candidates, you will receive feedback to help you find a job. If the interview moves to the next stage, you will be notified shortly.Good luck! See you in our team!Octy


About OCTY

    
      We are the team of top notch developers who help to launch, scale and improve mind blowing mobile first start-ups. We understand that nowadays startups should get more than just building apps and infrastructure, we provide launch and growth hacking, propose alternative ideas to make products more valuable and find best solutions to save startups' resources.We know that each case is unique and requires a personalized approach with deep knowledge of the product's domain to catch market fit.
      

Company website:

      https://octy.dev

DOU company page:

      https://jobs.dou.ua/companies/octy-apps/





            Job posted on
            8 November 2023
            



            393 views

              

            
  

            171 applications

          




      To apply for this and other jobs on Djinni
      login
      or
      signup."
Python/Django Engineer,3,78,16,"Hey guys 👋We’re Intobi - a software development company, located in Kyiv 🇺🇦Our main specialization is Web & Mobile applications + UI/UX Design.We’re looking for a success-driven Python/Django Engineer.Full-Time, Long-Term position.Requirements:— at least 4 years of commercial experience;— Strong ability to code in Python;— Strong ability to code in React will be a plus;— Good problem-solving skills;— Analytical mindset;— English proficiency.What we offer:— Competitive salary;— Paid vacation and sick leaves;— Paid day off (Ukrainian holidays);— Ability to work from our cozy office;— 8 hours working day, 5 days a week;— Career growth potential;— Friendly team and corporate events.Please send your CV here or via email.Should the first stage be successfully completed, you’ll be invited to a personal interview.
      

About Intobi

    
      Intobi — це компанія однодумців, які не шкодують Часу та Зусиль для того, щоб створювати.Ми чітко знаємо і розуміємо чого Ми хочемо досягти і куди Ми ідемо, якою буде ціна цього і що ми отримаємо в результаті.Шлях, який почався у 2017 році, зовсім не простий, але цікавий і саме з крокування цим шляхом і заповнюється вагома частина нашого життя. Як мінімум, 160 годин на місяць:)Всі разом Ми прикладаємо зусилля, щоб будувати компанію нашої Мрії, де, в кінцевому випадку, хочеться бути і де відчувається Твій особистий вклад у створенні цієї Мрії.Ми працюємо в напрямках outsource, outstuff та product development.В контексті outsource та outsutff, Ми зосереджені на довгострокових партнерствах з клієнтами з Європи, Великобританії, США, Австралії, з Близьким Сходом тощо. Наша орієнтація — це full-time/long-term проєкти. (Очевидно, що не співпрацюємо і ніколи не будемо працювати з країнами-агресорами)На цей час у нас сформована команда гарних інженерів та дизайнерів, є портфоліо стабільних клієнтів.В контексті product development, ми почали розробку двох продуктів. І з кожним наступним кроком Вага цього напрямку буде зростати.Далі будуть нові цілі та нові етапи 🤩Ми поважаємо цінності, які Ми визначили: командна робота, повага, рівність, відповідальність, знання не лише своїх прав, але і обов’язків.Про очевидні речі, на шкталт затишного офісу, відпусток, смачненького на кухні та корпоративів Ми розповімо на першому етапі співбесіди.Будемо раді Тебе бачити частиною нашої команди! 🙂Приєднуйтеся до Intobi, щоб рости як висококваліфікований фахівець, досягати всіх своїх цілей і допомагати компанії бути в авангарді.
      

Company website:

      https://intobi.com/

DOU company page:

      https://jobs.dou.ua/companies/intobi/





            Job posted on
            8 November 2023
            



            78 views

              

            
  

            16 applications

          




      To apply for this and other jobs on Djinni
      login
      or
      signup."
Senior Python Software Engineer with Data Science experience (in Europe),5,12,0,"Binariks is looking for a highly motivated and skilled Senior Python Software Engineer with Data Science experience.Location: EuropeAbout the project: A company that specializes in providing servicing management for all loan and credit receivables that lead to timely and mutually beneficial servicing solutions for both clients and borrowers. We leverage successful international practices by providing flexible and innovative solutions. We put the borrower at the forefront and, after careful consideration of their financial situation, design the best possible solution.Requirements:- A minimum of 7 years of hands-on experience in software development- Advanced expertise in Python programming- Solid written and verbal English communication skills- Senior Python Engineer with some Data Science experience or - Senior Data Scientist with solid Python skills- A passion for crafting clean, elegant, and well-documented source code- Proven experience in writing both integration and unit tests in Python- Familiarity with Continuous Integration (CI) and Continuous - Delivery (CD) practices- Experience with Spark and Big DataResponsibilities:- Develop the back-end- Collaborate closely with front-end developers and data science teams to ensure seamless functionality- Triage, debug, and resolve technical issues efficiently- Engage in code and peer reviews, upholding the highest quality standards- Assist your team in understanding and prioritizing software requirements- Actively participate in both internal and external meetings, discussing your work outcomes and project milestonesWe provide the following for our employees:18 working days of paid vacation10 working days of sick leave annually (5 days paid at 100% and 5 days at 75% rate of your average monthly salary)50% cost compensation for English coursesFlexible work scheduleAdditional days off for special occasions, national holidays offA competitive and rewarding salary based on performance appraisals/knowledge evaluationPossibility to share and gain knowledge on regular tech talksFriendly and professional teamInnovative projects with advanced technologiesRemote workAccounting service
      

About Binariks

    
      Hi, we’re Binariks 👋 We are software development outsourcing company providing advanced consulting and development services to clients across the globe. The company is headquartered in the USA with development and consulting center located in Lviv, Ukraine. Binariks was founded by a group of top software outsourcing experts with over 20 years of experience working in the industry. We partner with various organizations ranging from startups to big enterprises helping them to achieve business success by creating winning teams and products while leveraging lean organization principles.Why choose us?⚪️ We integrate our newbies via a personal onboarding system. From the first day, you feel yourself in the right place;🔵 In Binariks the most important thing is people. You always get all support you need to do your work without overloads or burning out; ⚪️ We’re a team of like-mind professionals. You’ll be comfortable working with us because we always stand for clear mutual communication; 🔵 We equip employees with in-house learning and tech talks, plus we reimburse costs for Training & Conference; ⚪️ We never forget about a healthy work-life balance. For us, the team is the main factor of success. We value — involvement, openness, and a willingness to grow with us. Let’s change the world together, your Binariks💙
      

Company website:

      https://binariks.com/

DOU company page:

      https://jobs.dou.ua/companies/binariks/





            Job posted on
            8 November 2023
            



            12 views

              

            
  

            0 applications

          




      To apply for this and other jobs on Djinni
      login
      or
      signup."
Middle Python Engineer in UAV Product,2,132,25,"UAV development company is looking for a talented Python developer. The project is related to defense activities. We produce optical navigation, odometry, and Ground/Base station.What do we want to see in you:- Python strong knowledge and hands-on experience. Familiarity with Python's ecosystem and advanced features.- Experience in developing and deploying desktop applications.- Worked with SQL/NoSQL databases- Proficient in implementing logging, threading, and asynchronous programming in Python.- Proven experience with web service development and integration.- SOA Architecture- General architectural patterns, Software engineering best practices- Strong team player skills- Analytical type of personality- Extended communication skillsWhat do we offer- Office work in Kyiv- Great team of superprofessionals- Relevant salary- An interesting project that the all the Country waiting for
      

About REINDORF

    
      Компанія REINDORF спеціалізується на мехатроніці. Ми розробляємо БПЛА великого розміру літакового типу. Наша команда - це команда однодумців, які мють знання від конструювання і аеродинаміки до розробки програмного забезпечення. Невеликий колектив R&D - до 20 сильних винахідників, але ми вперті і завзяті. Ми створені як невеличка команда, задачою якої є мета пришвидшити нашу Перемогу. Працюємо тільки на перемогу!Розробляємо- автопілот- систему оптичної навігації- одометрію- власну система керування літаком- наземну станцію керування- автоматичний зліт і посадкуШукаємо однодумців, які згодні працювати у офісі!
      

Company website:

      https://reindorf.pro/





            Job posted on
            8 November 2023
            



            132 views

              

            
  

            25 applications

          




      To apply for this and other jobs on Djinni
      login
      or
      signup."
Python Developer (Strong Middle/Senior),3,224,91,"Знання і навички необхідні для роботи на цій посаді:- Python 3;- Робота з WEB фреймворками;- Робота з реляційними та nosql базами даних;- Написання тестів (unittest, pytest);- Знання принципів асинхронного програмування (asyncio, aiohttp);- Знання процесу розробки веб-додатків (Git, CI/CD, Linux, Docker);- Розуміння принципів кешування, побудови RESTful сервісів, асинхронної комунікації між сервісами.Буде плюсом:- Досвід розв'язання алгоритмічних задач;- Фреймворки Django, FastAPI;- Знання Kafka, CouchDB, Postgresql, Elasticsearch (opensearch) та Redis;- Знання мікросервісної архітектури та патернів взаємодії сервісів;- Знання DDD;- Продуктове мислення.Посадові обов'язки:- Розробка бекенду для бекофіс систем, наприклад, для департаменту логістики та інших операційних працівників компанії;- Робота в команді;- Розробка чистого коду, який можна підтримувати;- Розв'язання цікавих і складних задач;- Розвиток як розробник;- Обмін знаннями і досвідом з іншими командами.Процес найму:- зустріч з HR; (30-40хв)- технічне інтерв'ю; (1,5) Іван та Ігор разом- фінальне інтерв'ю; СМ + СТО- job offer.
      

About Zakaz.ua

    
      Zakaz.ua — міжнародна компанія, яка спеціалізується на доставці продуктів з передових гіпермаркетів, як-от METRO, Аuchan, NOVUS, МегаМаркет, ЕкоМаркет, Таврія В, VARUS, UltraMarket, Восторг, КОСМОС, WINETIME.Zakaz.ua заснована у 2010 році. Ми працюємо в 13 найбільших містах України, а також в Молдові.Ми працюємо як «онлайн-поличка» в супермаркеті, на якій ритейлери розміщують товари, а користувачі купують. Крім вебінтерфейс, ми повністю забезпечуємо комплектування продуктів, доставку замовлень, підтримку користувача і навіть оцифрування контенту для ритейлерів.Вся робота розділена на декілька продуктів: внутрішні системи (додатки для логістики, збирачів, обробки замовлень тощо) та зовнішні інтерфейси (вебінтерфейс для користувачів та мобільні додатки).Наша IT-команда складається з більш ніж з 60 спеціалістів.
      

Company website:

      http://www.zakaz.ua

DOU company page:

      https://jobs.dou.ua/companies/zakaz-ua/





            Job posted on
            7 November 2023
            



            224 views

              

            
  

            91 applications

          




      To apply for this and other jobs on Djinni
      login
      or
      signup."
Python Developer / Data Engineer,2,136,27,"A product company with FTSE 500 clients in 50+ countries around the world, is looking for a Python Developer / Data Engineer developer to join the Satellite Tracking Unit, a web platform for processing and analysing satellite imagery and Earth remote sensingWhat we expect from a candidate:- Commercial experience in development 3+ years (Python);- Experience with GCP (GKE, GCS, Cloud SQL, Cloud Endpoints, Cloud Run, Cloud Composer) or similar solutions from other cloud providers;- Ability to deploy applications in Kubernetes is required;- Experience with Airflow or other orchestration tools;- Ability to write REST API and microservices (aiohttp, Flask);- Knowledge of SQL (PosrgreSQL) + SQLAlchemy Core/ORM;- Knowledge of Docker is a must;- Ability to work in a team;- Experience with version control systems (Git);- Experience in UNIX environment.Will be a benefit:- Experience writing Terraform configs;- Non-relational DBMS;- Experience with GIS data;- Experience with GDAL/OGR, rasterio;- Experience with ELK or similar systems;- Interest in ML/DL and experience in projects using them.The company offers:- opportunity to be a part of a best-in-class product that is used by thousands of companies around the world;- participation in complex technical tasks and challenges;- environment where you need to seek and implement unique engineering and technical solutions;- daily work with tasks in the field of neural networks and machine learning;- trainings and development programs.
      

About Cropio

    
      Cropio is a global leader in digital / agritech solutions, operating in more than 50 countries and helping to optimize business processes and improve the efficiency of agronomic decision-making.Cropio is a SAAS for farmers that deals with computer vision, big data and AI.For seekers, cooperation with Cropio is an opportunity to be part of a best-in-class product used by hundreds of companies around the world, and to deal with complex technical tasks in the field of neural networks and machine learning with the need to constantly improve their knowledge and skills, to find and implement unique engineering and technical solutions.
      

Company website:

      https://www.linkedin.com/company/cropio





            Job posted on
            7 November 2023
            



            136 views

              

            
  

            27 applications

          




      To apply for this and other jobs on Djinni
      login
      or
      signup."
Junior Python Developer in Test (CSA),0,257,24,"Ми - Ajax Systems, створюємо системи безпеки та пристрої для розумного дому. Хочемо, щоб кожен дім став безпечніший, а охоронні системи — більш технологічними, стильними та простішими у використанні. Віримо в інтернет речей та розумну безпеку як його основу.Ajax — це компанія повного циклу: від генерації ідей у R&D до масового виробництва та продажів. Ми робимо все: виробляємо фізичні пристрої, пишемо для них софт, розробляємо серверну частину та випускаємо мобільні додатки. Серверна частина — непомітна для кінцевого користувача, але критична для життєдіяльності усієї системи. Одночасно ми підтримуємо більше мільйона одночасних підключень і ця цифра стрімко зростає. Ми постійно додаємо новий функціонал та збільшуємо стабільність нашого хмарного додатка. Для підтримки якості та стабільності системі ми шукаємо Python Dev in Test (CSA).Необхідні навички:Рівень знання Python — juniorТехнічний бекграундЗнання ООПСистемний підхід до написання кодуДосвід роботи з PyTest, Asyncio, GitБазові знання SQL/NoSQLБазові знання UNIX/Linux OSБуде плюсом:Знати та використовувати підходи та методології тестуванняДосвід роботи з NATS, gRPC, DockerДосвід роботи з Jenkins або іншим CI/CD серверомДосвід роботи з Jira, Test RailРозуміння та застосування на практиці принципів асинхронного та паралельного програмуванняЗадачі:Дизайн та розробка автотестівАналіз технічної документаціїАналіз результатів тестуванняРобота з низькорівневими бінарними протоколамиМи пропонуємо:Cвободу приймати рішення та втілювати ідеїМожливість впливати на продукт і виробництво замість монотонного закриття задачРоботу в мотивованій команді та zero bullshit cultureГнучкий графік в офісіТурботу та медичне страхуванняДолучайтеся, щоб зробити Made in Ukraine синонімом надійності. Ajax — свобода бути інженером!
      


About Ajax Systems

    
      Ajax Systems — розробник і виробник систем безпеки Ajax із можливостями розумного дому. Це ціла екосистема з 50 пристроїв, мобільних і десктопних застосунків, серверної інфраструктури. У лінійці Ajax представлено централі керування із власною RTOS (OS Malevich), датчики руху, відчинення, захисту від затоплення та пожежні датчики, вуличні й домашні сирени, тривожна кнопка з функцією керування приладами, розумні розетки та реле.Виробництво Ajax Systems розташовано не в Китаї, а в Україні, і вже п’ять років компанія демонструє кратне зростання як у чисельності команди, так і в кількості користувачів у всьому світі.За розробку пристроїв у Ajax відповідає R&D-департамент, який складається з чотирьох команд: System, Devices, Automation та QA.Команда Devices займається розробленням пристроїв для безпеки й автоматизації. Розробники не винаходять датчики заново, а натомість ставлять перед собою серйозні виклики в таких напрямках:Low-Power — пристрої мають працювати максимально довго від штатних батарей;Собівартість — масовий продукт повинен залишатися в діапазоні середнього цінового сегмента;DFM (Design for Manufacturing) і DFH (Design for Human). Схемотехніка, корпуси та інші елементи має бути легко повторити в сотнях тисяч пристроїв на виробництві без втрати якості.Розробники переважно використовують STM 8/32 і Embedded C. Вже зібрано сильну експертизу й талановитих працівників із числа Hardware- та Embedded C-інженерів, промислових дизайнерів, конструкторів-механіків.Команда Automation розробляє програмно-апаратні комплекси для тестування кожного пристрою в процесі виробництва, створює роботів для автоматизації збирання, а також програмне забезпечення для прошивки пристроїв і керування виробництвом, що дає змогу оптимізувати витрати часу навиготовлення датчиків. Для цього використовують Python 3 та Embedded C.Команда System робить пристрої розумними, перетворюючи їх на повноцінний IoT. Вони створили й розвивають OS Malevich (модульна RTOS для різних апаратних платформ) і хмарний сервіс Ajax Cloud (Java 12, AWS, Akka). Для керування, обслуговування та моніторингу системи користувачами, інсталяторами й інженерами охоронних компаній розроблені додатки для iOS (Objective-C, Swift), Android (Java, Kotlin), Windows/macOS (Python, QT, QML).Системи безпеки мають підвищені вимоги до надійності та стабільності роботи, тому команда QA в Ajax Systems супроводжує продукт як на етапі розроблення, так і в процесі виробництва й подальшого розвитку. Вони виявляють баги у залізі, софті або взаємодіях систем. Це не просто команда «клікерів», це творчі інженери. Вони перевіряють нові пристрої в різних екстремальних умовах: імітують рухи людей і тварин, відтворюють складні погодні умови, перепади температур, влаштовують контрольовані пожежі та затоплення.Ми будуємо невеликі команди та створюємо такі умови, щоб робочий час ішов безпосередньо на дослідження й розробку замість нескінченних зустрічей і обговорень. Для нас ідеї та рішення важливіші за титули, тому ми не використовуємо класичні айтішні ґрейди — Senior/Middle/Junior.У нас багато пропрієтарних технологій. Наприклад, ми впроваджуємо в ДНК продукту можливості й технології, скопіювати які настільки трудомістко, що навіть не має сенсу. Такими розробками стали радіопротоколи Jeweller і Wings, операційна система OS Malevich, алгоритми датчиків і багато іншого.Датчики Ajax охороняють сотні тисяч користувачів у більш ніж 130 країнах світу. Кожен датчик, який ми випускаємо, проходить контроль якості, а рівень повернення й браку — в межах статистичної похибки.Виробництво Ajax Systems налічує два заводи, що розташовані в Україні. Також у нас чотири R&D-офіси: у Києві, Харкові, Вінниці і Львові.Ми не релізимо лайно і шукаємо людей, які не йдуть на компроміси в якості своєї роботи.
      

Company website:

      http://www.ajax.systems

DOU company page:

      https://jobs.dou.ua/companies/ajax-systems/





            Job posted on
            7 November 2023
            



            257 views

              

            
  

            24 applications

          




      To apply for this and other jobs on Djinni
      login
      or
      signup."
Junior Python Developer,1,512,114,"Newsoft is looking for a Python Developer with an understanding of JavaScript to join our team. In addition to external projects, we are actively engaged in the development of our internal systems. We have created our own system that sets a new standard for interaction between employees and management, ensuring clarity and understanding of all company processes. This role includes the responsibility of enhancing the system with innovative solutions, developing new features, and providing support for existing ones.Requirements:▪️ 6+ months of software development experience (commercial experience or own projects).▪️ Solid knowledge of Python.▪️ Understanding of RESTful APIs.▪️ Proficiency in at least one of the Python frameworks (Django, FastAPI, Flask).▪️ Experience working with relational databases (PostgreSQL, MySQL).▪️ Experience of working with Git.▪️ Understanding of SOLID principles.▪️ Strong knowledge of HTML/CSS.▪️ Knowledge of TypeScript or JavaScript.▪️ Understanding of React (experience will be an advantage).▪️ Upper-intermediate level of English.Nice-to-Have Skills:▪️ Familiarity with Docker.▪️ Experience working with AWS or other cloud service providers.Interview stages: ▪️ HR interview (30 minutes).▪️ Technical interview (1 hour).▪️ Job offer🎉🎉🎉We offer:▪️ Competitive salary + bonuses.▪️ Challenging tasks and projects.▪️ Opportunities for professional development and growth.▪️ Flexible working hours.▪️ New hardware.▪️ Free English lessons.▪️ Availability of generators and Starlinks in the office.▪️ Small gym and table tennis in the office.▪️ Adjustable height tables.▪️ Regular office fruit delivery and other benefits.Let’s create value together!
      


About Newsoft

    
      Newsoft is a software development company providing businesses with top-notch tech talents and helping build powerful software products. Our core values revolve around creating value and win-win cooperation.Services:▪️ Team Augmentation (blended, dedicated, managed teams)▪️ IT Strategy Consulting▪️ Software Architecture AdvisoryAwards:🥇 Top B2B company in Lviv according to Clutch (2019, 2020)🥇 Top Mobile App Developers in Lviv according to Clutch (2021)Newsoft in numbers:▪️ 30+ highly skilled engineers▪️ Trusted by 10 current clients▪️ Thriving partnerships with 30+ organizations▪️ Over 4 years of industry experience▪️ 60% skilled professionals with a long-standing career▪️ Average partnership duration of 2+ yearsLet’s cooperate and create value together.
      

Company website:

      https://newsoft-ns.com/

DOU company page:

      https://jobs.dou.ua/companies/newsoft/





            Job posted on
            7 November 2023
            



            512 views

              

            
  

            114 applications

          




      To apply for this and other jobs on Djinni
      login
      or
      signup."
Data Mining Engineer needed for data centric startup,0,296,51,"We're in the process of scaling our current systems and looking for a clever, flexible, and resourceful engineer to help build out our data pipelines. Our existing pipelines scrape websites for data, clean and transform the data, then make the data available to our front end UI and API. Our tech stack primarily uses Kubernetes, Docker, Airflow, Python, Selenium, Postgres, S3, and gitlab for CI/CD.You will be responsible for:- Developing web scrapers for the Data Acquisition team and optimizing pipeline execution.- Using pandas to normalize data.- Creating docker images of scrapers to be deployed to kubernetes.- Creating airflow dags to schedule pipelines.- Developing tests to ensure proper pipeline execution.This position requires experience developing python and writing web scrapers.NOTE: Please make all e-mails and communications through the djinni website. Thank you.
      

About Forecasa

    
      Forecasa is a data centric startup based in the United States. We focus on providing data and analytics for lenders in the real estate space.
      

Company website:

      https://www.forecasa.com





            Job posted on
            7 November 2023
            



            296 views

              

            
  

            51 applications

          




      To apply for this and other jobs on Djinni
      login
      or
      signup."
Python ML/AI,3,33,3,"Requirements:— 3+ years of Software Engineering experience— 3+ years of experience with Python— 2+ years of experience with AI/ML— Strong Software Design knowledge: OOD, FP, Design patterns— Proficient understanding of Git— Excellent understanding of both NoSQL and SQL databases— Experience with Docker & CI/CD processes— Experience with AWS (or similar services like GCP or Azure)— Knowledge of Agile (preferably SCRUM) development practices— English B2+ (Upper-Intermediate)Responsibilities:— Develop scraping and parsing solutions;— Develop API, ETL pipelines, other data integration services ;— Collaborate with Project Managers to solve customer problems;— Optimize applications regarding project requirements;— Collaborate with team members, take part in meetings, brainstorms.We offer:— Full-time— Remote— Vacation 24 day/year— Sick day 5 day/year— English courses
      

About :DTeam

    
      Ми ІТ-аутсорсингова компанія, яка надає послуги з розробки програмного забезпечення, тестування та DevOps для стартапів, технологічних компаній і прямих клієнтів.Детальну інформацію про нас можете прочитати на нашому сайті https://dteam.dev/ або https://clutch.co/profile/dteam
      

Company website:

      https://dteam.dev/

DOU company page:

      https://jobs.dou.ua/companies/dteam/





            Job posted on
            7 November 2023
            



            33 views

              

            
  

            3 applications

          




      To apply for this and other jobs on Djinni
      login
      or
      signup."
Python (Django) Engineer,5,71,8,"We are Softwarium, a Ukrainian outsourcing IT company. We have been developing software for American, Canadian, and Norwegian clients in the education, healthcare, energy, and security industries for over 20 years.We are presently seeking a Python Engineer on behalf of our esteemed US client. The ideal candidate should possess a proactive mindset and a strong aptitude for addressing intricate challenges. In this role, you will assume a pivotal position in the development of low-latency, high-throughput systems that seamlessly incorporate advanced AI technologies into pragmatic, scalable solutions for our clients.Project details: Tempo AI represents an advanced customer service solution powered by ChatGPT. This innovative platform seamlessly integrates with renowned platforms such as Shopify, Salesforce, Zendesk, and custom e-commerce stores to streamline and automate a spectrum of customer service operations.Our client is growing rapidly and searching for a seasoned Python Engineer with a blend of robust Django expertise, cloud infrastructure knowledge, and a passion for AI technology. If you're ready to put your skills to the test in a dynamic, fast-paced environment, we welcome you to join us in pioneering the future of AI-driven customer services.Core Responsibilities:- Build and maintain high-performance, scalable backend systems using Python and Django.- Work with AWS services to architect resilient cloud infrastructureIntegrate and manage Twilio’s communication APIs within our service stack.- Develop multi-threaded and asynchronous service routines to handle real-time AI processing with minimal latency.- Implement security best practices around LLMs, including defenses against prompt injection and crafting secure prompts.- Collaborate closely with the product team to integrate cutting-edge AI technologies into our platform.- Lead efforts in latency engineering to optimize system performance and responsiveness.Technical Qualifications:- 5+ years of experience in software development with Python and Django.- Strong experience with AWS cloud services (EC2, S3, RDS, Lambda, CloudFormation). - Experience implementing both Rest and GraphQL API's.- Hands-on experience with AI platform integrations (OpenAI GPT, Hugging Face).- Practical knowledge of Twilio and communications APIs and their implementation.- Expertise in latency engineering, multi-threading, and optimizing applications for speed and scale.Preferred Experience:- Practical experience with async frameworks in Python (e.g., AsyncIO, FastAPI).- Familiarity with Python's testing frameworks.- Experience in performance tuning and optimization, particularly within high-load environments.- Contributions to the Python and AI development communities are highly regarded.Professional Skills:- Demonstrated ability to write clean, maintainable, and efficient code.- Strong problem-solving skills and the willingness to dive into challenging problems.- Exceptional communication and collaboration abilities.- A thorough understanding of AI security best practices, especially in LLMs.Working conditions:🏠 Possibility to work remotely;⚖️ Work & life balance is our credo. No overtime;🚀 Learning & Development program: a team of senior developers, individual budget for professional development (trainings and events, certification);💶 You can always count on paying for a vacation (20 working days), sick leave (10 paid days), and holidays.Interested in joining our team? Do not hesitate to contact us!


About Softwarium

    
      Softwarium is an Outsourcing Company located in Poland and Kyiv and consists of 100+ skilled professionals. The Сompany develops software, IT strategy, customer service, solution development, and managed services for American, Canadian, and Norwegian customers.We focus on productivity, which we achieve by drawing together the right mix of talent for the job.Quick facts about us:• Established in 2000• Gold Microsoft Partner• AWS Cloud Consulting Partner• Member of national and international industry associationsWe propose:1. Challenging technical projects:• Growing business domains - social sphere, medicine, energy, oil, and cybersecurity.• Technological stacks .NET, Golang, Java, Azure, SharePoint, Sitecore, Mule, React, Angular, etc.• Developers work with clients directly and are fully integrated with their processes, which helps them build lasting and successful partnerships.2. Compensation and benefits: • Compensation is regularly re-calibrated to be competitive with the external market for equivalent skills and seniority;• Referral bonuses;• Up to 20 vacation days per year + 10 rest days in public holidays;• 12 days paid leave due to illness;• We provide relocation assistance for specialists from other cities and countries;• Budget for training, conference attendance;• You will enjoy a work-life balance tailored to your preferences.3. Great work environment:• Our developers are trustworthy professionals who favor autonomy and don’t require micromanagement;• A safe working environment is our number one priority with either work from home or from the office in compliance with quarantine measures;• Remote work;• Comfortable working-from-home conditions, including the delivery of the necessary equipment and furniture.We immediately feel a vibe with the right person, so we only have a 2-stage interview process.We will be glad to see you on the Softwarium Team!
      

Company website:

      https://www.softwarium.net/

DOU company page:

      https://jobs.dou.ua/companies/softwarium/





            Job posted on
            7 November 2023
            



            71 views

              

            
  

            8 applications

          




      To apply for this and other jobs on Djinni
      login
      or
      signup."
Team Lead Python Developer,2,66,4,"Deep Knowledge Group is a data-driven investment fund focused on young companies developing frontier technologies. We are researching technological markets based on written sources and produce high-quality analysis based on our unique database.We are looking for a highly skilled Team Lead Python Developer to be the head of our data parsing team. As a Team Lead Python Developer, you will be responsible for leading a team and coordinating the processing of large volumes of data to support our business initiatives and participate in strategic planning.Key Responsibilities:Data processing: Process large volumes of data, including data collection, cleansing, transformation, and loading.Data analysis: Analyse the processed data to identify key findings and decision-making insights.Strategic planning: Collaborate with other departments to understand their data needs and develop data strategies that meet business objectives.Process automation: Develop and implement automated solutions to optimize data processing.Team Leadership: Manage and inspire the Data Parser team, providing them with the necessary resources and support to achieve high performance.Requirements:At least 2 years of experience in data processing and analysis.Experience in managing a team of analysts or Data Parsers is a plus.High level of knowledge of Python (libraries for data parsing and processing) and SQL.Ability to communicate and collaborate effectively with internal departments and teams.Analytical and problem-solving skills.High responsibility and result orientation.
      

About Deep Knowledge Group

    
      Deep Knowledge Group is a consortium of commercial and non-profit organizations active on many fronts in the realm of DeepTech and Frontier Technologies (AI, Longevity, FinTech, GovTech, InvestTech), ranging from scientific research to investment, entrepreneurship, analytics, media, philanthropy and more.The consortium’s major projects and initiatives grew out of the initial activities of Deep Knowledge Ventures, which was active on so many fronts of high-technology and science driven domains that it made the decision to form dedicated subsidiaries for each of the specific domains it was involved in. ​Deep Knowledge Ventures was founded in 2014 as a data-driven investment fund focused on the synergetic convergence of DeepTech, frontier technologies and renowned for the use of sophisticated analytical systems for investment target identification and due-diligence.  Deep Knowledge Group values Knowledge above profit - a vision embedded in its very name and brand
      

Company website:

      https://www.dkv.global





            Job posted on
            7 November 2023
            



            66 views

              

            
  

            4 applications

          




      To apply for this and other jobs on Djinni
      login
      or
      signup."
